연도,학제,고등학교 유형,시도,교육지원청,행정구역,학교명,본분교,학교상태,설립구분,우편번호,주소,홈페이지,학급수,학생수,교원수
2015,고등학교,일반고,경기,경기,고양시,능곡고등학교,본교,기존(원)교,공립,412-818,경기도 고양시 덕양구 지도로 76 (토당동.능곡고등학교),http://nunggok.hs.kr,36,"1,186",86
2015,고등학교,일반고,경기,경기,고양시,백마고등학교,본교,기존(원)교,공립,410-815,경기도 고양시 일산동구 백석로 155 (백석동.백마고등학교),http://baekma.hs.kr,44,"1,531",104
2015,고등학교,일반고,경기,경기,고양시,백양고등학교,본교,기존(원)교,공립,412-220,경기도 고양시 덕양구 화신로 199 (행신동.백양고등학교),http://www.paikyang.hs.kr,37,"1,199",83
2015,고등학교,일반고,경기,경기,고양시,저동고등학교,본교,기존(원)교,공립,410-829,경기도 고양시 일산동구 무궁화로 165 (정발산동.저동고등학교),http://www.jeodong.hs.kr/,45,"1,575",103
2015,고등학교,일반고,경기,경기,고양시,행신고등학교,본교,기존(원)교,공립,412-220,경기도 고양시 덕양구 소만로 36 (행신동.행신고등학교),http://www.haengshin.hs.kr/,38,"1,212",86
2015,고등학교,일반고,경기,경기,고양시,화정고등학교,본교,기존(원)교,공립,412-270,경기도 고양시 덕양구 화정로 17 (화정동.고양화정고등학교),www.hwajung.hs.kr,37,"1,206",89
2015,고등학교,일반고,경기,경기,고양시,대화고등학교,본교,기존(원)교,공립,411-802,경기도 고양시 일산서구 대화로 100 (대화동),http://www.daehwa-is.hs.kr,37,"1,255",85
2015,고등학교,일반고,경기,경기,고양시,세원고등학교,본교,기존(원)교,사립,410-842,경기도 고양시 일산동구 숲속마을로 202 (풍동.세원고등학교),www.sewon.hs.kr,26,927,55
2015,고등학교,일반고,경기,경기,고양시,서정고등학교,본교,기존(원)교,공립,412-220,경기도 고양시 덕양구 서정마을2로 39 . 서정고등학교 (행신동),http://seojeong.hs.kr,38,"1,167",85
2015,고등학교,일반고,경기,경기,고양시,무원고등학교,본교,기존(원)교,공립,412-836,경기도 고양시 덕양구 화신로 65 (행신동.무원고등학교),http://moowon.hs.kr,38,"1,164",90
2015,고등학교,일반고,경기,경기,고양시,백송고등학교,본교,기존(원)교,사립,411-809,경기도 고양시 일산서구 덕이로172번길 4-39 (덕이동. 백송고등학교),www.baeksong.hs.kr,15,406,33
2015,고등학교,일반고,경기,경기,고양시,가좌고등학교,본교,기존(원)교,공립,411-440,경기도 고양시 일산서구 가좌1로 43 (가좌동.가좌고등학교),http://gajwa-h.hs.kr/,37,"1,261",86
2015,고등학교,일반고,경기,경기,고양시,백신고등학교,본교,기존(원)교,공립,410-817,경기도 고양시 일산동구 백석로 8 (백석동.백신고등학교),www.baekshin.hs.kr,43,"1,523",109
2015,고등학교,일반고,경기,경기,고양시,정발고등학교,본교,기존(원)교,공립,410-812,경기도 고양시 일산동구 정발산로 185 . 정발고등학교 (마두동.정발고등학교),http://www.jeongbal.hs.kr,45,"1,448",108
2015,고등학교,일반고,경기,경기,고양시,중산고등학교,본교,기존(원)교,공립,410-831,경기도 고양시 일산동구 중산로 290 (중산동.중산고등학교),www.ijungsan.hs.kr　,40,"1,403",91
2015,고등학교,일반고,경기,경기,고양시,안곡고등학교,본교,기존(원)교,공립,410-315,경기도 고양시 일산동구 하늘마을로 75 (중산동.안곡고등학교),http://www.angok.hs.kr,39,"1,278",91
